openalexid,value,key
W4366765216,['IoT sensor analytics (LSTM-based)'],Predictive AI
W4367173645,[],Other
W4393865864,"['cloud computing', 'neural networks', 'real-time data processing', 'scalability', 'vehicle emissions monitoring']",Data-Centric AI
W4323848813,"['IoT sensor analytics (LSTM-based)', 'IoT', 'big data', 'AI', 'digital twins']",Decision-Support AI
W4391268320,[],Other
W4385069050,"['GANs', 'CNN-LSTM', 'feature augmentation']",Data-Centric AI
W4385708899,"['artificial neural network model', 'net ecosystem productivity (NPP)']",Data-Centric AI
W4313524269,"['Optical Remote Sensing', 'Nighttime Light', 'Gradient-Weighted Class Activation Mapping']",Data-Centric AI
W4384339060,"['analogue reservoir computing', 'water waves', 'power grid networks', 'energy consumption']",Predictive AI
W4366280625,['machine learning-based CA-Markov model'],Predictive AI
W4387342987,['machine learning approach'],Predictive AI
W4366188881,"['IoT', 'big data analytics', 'artificial intelligence', 'real-time technologies']",Data-Centric AI
W4360993816,"['machine learning', 'previous failure data', 'power grid outages', 'operational and meteorological information']",Predictive AI
W4380763470,"['waste collection process', 'automated operations']",Data-Centric AI
W4313472130,"['rainfall forecasting', 'flood inundation prediction', 'real-time forecasting system']",Predictive AI
W4393160910,"['Segment Anything Model', 'SAM']",Data-Centric AI
W4327700148,"['decision trees', 'ensemble methods (bagged, boosted, gradientboosted)', 'GHG emissions prediction']",Predictive AI
W4388498982,"['computer vision (CV) technology', 'urban planning']",Decision-Support AI
W4396769045,[],Other
W4386133991,"['machine learning', 'deep learning', 'feature extraction', 'classification']",Data-Centric AI
W4385471804,"['RapidEye image data', 'image classification']",Data-Centric AI
W4386483125,"['AI for Actionable Insights & Automation in sustainability science', 'autonomous Systems']",Decision-Support AI
W4388841629,[],Other
W4388195162,"['multi-criteria decision-making', 'hydrological modelling', 'household surveys', 'geographic information system (GIS) techniques']",Data-Centric AI
W4400613682,"['deep learning', 'urban land use mapping', 'geospatial big data']",Data-Centric AI
W4320035810,"['machine learning', 'multivariate random forest', 'univariate non-linear regression']",Predictive AI
W4313681109,"['machine learning', 'explainable AI (XAI)']",Decision-Support AI
W4318953575,"['Random Forest', 'SHAP values']",Decision-Support AI
W4390842159,[],Other
W4320040361,"['convolutional neural network', ' guided gradient-weighted class activation mapping', 'bivariate local indicator of spatial association', 'Elbow method', 'K-means']",Data-Centric AI
W4390604402,['LSTM'],Predictive AI
W4367046979,"['contrastive learning', 'knowledge graph (KG)', 'neural network based encoders']",Predictive AI
W4328050690,"['Auxiliary data pre-processing module', 'CAI-net', 'Non-cloud scenes classification module']",Data-Centric AI
W4363648237,[],Other
W4318777634,['Decision Tree Analysis'],Decision-Support AI
W4323313897,['policy advising'],Decision-Support AI
W4388507577,[],Other
W4378229624,"['Deep Learning', 'Image Classification', 'Anomaly Detection']",Data-Centric AI
W4381985156,['automated sample labeling'],Data-Centric AI
W4319081021,N/A,N/A
W4392906975,"['IoT sensor analytics', 'AI-integrated IoTs for environment control']",Predictive AI
W4385815609,"['machine learning capabilities', 'proactive decisions', 'wireless networks', 'QoS', 'user experience', 'V2X schemes', 'GPS-located wireless measurements', 'urban environments', 'cellular operators', 'sidelink radio access technologies', 'diverse studies', 'publicly available data']",Data-Centric AI
W4386134811,"['Artificially Intelligent Internet of Things', 'big data analytics', 'artificial intelligence', 'cyber-physical systems', 'robotics', 'automation']",Data-Centric AI
W3200303296,"['deep learning algorithm', 'early warning system (EWS)']",Predictive AI
W4319304408,"['machine learning', 'biomarker discovery', 'autonomous systems']",Predictive AI
W3011156941,"['Deep learning', 'convolutional neural networks (CNNs)']",Data-Centric AI
W3199397800,"['LSTM-based', 'sensor analytics']",Predictive AI
W3133294546,['machine learning models'],Predictive AI
W3194456427,N/A,N/A
W4293180257,"['water demand forecasting', 'leakage detection']",Predictive AI
W3196792588,"['network dismantling', 'machine learning', 'systemic risk', 'attack probability']",Decision-Support AI
W3131584643,"['recurrent neural network', 'data assimilation', 'four-dimensional variational']",Data-Centric AI
W3040129451,"['random forest', 'machine learning', 'high-resolution model output']",Data-Centric AI
W4221027767,N/A,N/A
W3036047738,[],Other
W4282593046,"['big data', 'forest and biodiversity']",Data-Centric AI
W3106719883,"['AI models', 'disaster monitoring and management']",Data-Centric AI
W3198755449,[],Other
W4220706376,['reinforcement learning'],Decision-Support AI
W3041184455,"['anomaly detection (autoencoder-based)', 'unaccounted-for-water problems']",Data-Centric AI
W3035647460,['Convolutional neural network (CNN)'],Other
W3156213164,"['CNNs', 'Classification']",Predictive AI
W3005767652,[],Data-Centric AI
W3015232219,"['ClimateNet', 'extreme weather events', 'deep learning (DL) model', 'pixel-level identification']",Data-Centric AI
W2993514765,"['backwards optimization', 'layerwise relevance propagation']",Data-Centric AI
W3009296583,['multi-sensor data'],Data-Centric AI
W3160823100,"['cellular automata (CA) model', 'artificial neural network (ANN)', 'area-weighted frequency of land-use change (AWFLUC)']",Decision-Support AI
W4200446026,"['Random Forest', 'machine learning-based representation', 'Robust Decision Making']",Decision-Support AI
W4313472902,"['IoT', 'ML']",Data-Centric AI
W3137567560,"['computer vision', 'text mining', 'image tags', 'geographic information']",Data-Centric AI
W3185151041,['Classification and Regression Trees'],Predictive AI
W3034218843,"['CNNs', 'NS-55']",Data-Centric AI
W3111312026,"['support vector machine', 'Markov chain', 'cellular automata']",Decision-Support AI
W4296691827,"['flood risk scoring', 'disease outbreak prediction']",Predictive AI
W3193123863,['machine learning approaches'],Decision-Support AI
W3011869042,"['Early Fusion', 'Siamese Network', 'Convolutional Support Vector Machine', 'Support Vector Machine']",Predictive AI
W3037587714,"['Convolutional Neural Networks (CNN)', 'Change Detection', 'Remote Sensing Datasets', 'Dilated Convolutions']",Data-Centric AI
W4220752280,[],Other
W3049378437,['uncertainty quantification'],Decision-Support AI
W3131368289,"['TF-IDF', 'K-means']",Data-Centric AI
W3185051919,"['deep learning methods', 'spatio-temporal deep learning methods']",Data-Centric AI
W3153254740,[],Other
W3109821323,"['SegNet', 'U-Net']",Predictive AI
W4206971393,"['neural nets', 'random forests', 'machine learning of nudging tendencies']",Predictive AI
W4295278512,"['machine learning', 'big data']",Predictive AI
W3216080452,"['machine learning', 'deep learning']",Decision-Support AI
W3088515710,[],Other
W4280589740,['ML-prediction'],Predictive AI
W3091982977,['AI plant species classifier'],Predictive AI
W3047510468,"['parameter optimization', 'climate model tuning', 'model parameter adjustment']",Decision-Support AI
W3164604177,"['feed‐forward deep neural networks (DNNs)', 'cloud superparameterization', 'community atmospheric model', 'offline fits', 'hyperparameters optimization', 'temporal variance', 'autocorrelation timescale analysis', 'neural network difficulty emulating fast, stochastic signals in convection', 'spectral analysis in the temporal domain', 'diurnal to synoptic scales', 'land‐sea contrasts', 'vertical structure in the heating and moistening fields', 'precipitation distortion', 'sensitivity tests targeting precipitation skill', 'positive constraints versus hyperparameter tuning', 'offline land model', 'DNN emulated atmospheric fields', 'neural network emulation viability in real‐geography settings', 'Residual and Convolutional Neural Network architectures', 'memory of past states', 'parameterizability of superparameterized convection with continents through machine learning', 'casting this problem locally in space and time']",Predictive AI
W4280581618,"['machine learning', 'waveform migration', 'automated event detection and location', 'seismic data', 'real-time earthquake monitoring']",Data-Centric AI
W4285891375,"['neural network', 'empirical statistical downscaling']",Data-Centric AI
W3107928073,"['machine learning', 'time-series forecasting']",Predictive AI
W3009876049,"['AI', 'Prediction']",Predictive AI
W3020807179,['LSTM-based sensor analytics'],Predictive AI
W3132859298,"['3D-CNNs', 'support vector machine', 'random forest', 'gradient boosting machine', 'artificial neural network']",Predictive AI
W3112266021,"['convolutional neural networks (CNN)', 'recurrent neural networks (RNN)']",Predictive AI
W4298148810,"['deep learning', 'computer vision']",Predictive AI
W3212755948,"['convolutional neural networks', 'recurrent neural networks']",Predictive AI
W3034385753,['runoff modeling'],Predictive AI
W4205546079,"['CNNs', 'RNNs', 'seismic waveforms']",Predictive AI
W3011863222,"['Random Forest (RF)', 'Support Vector Regression (SVR)', 'Artificial Neural Network (ANN)', 'Multi-Model Ensemble (MME)']",Predictive AI
W2965580012,"['capsnets', 'weather prediction models']",Predictive AI
W3033652307,[],Other
W3018651684,[],Other
W3156533854,"['convolutional neural networks', 'tsunami forecasting']",Decision-Support AI
W4321214536,"['Transfer Learning', 'Learning without Forgetting (LwF)', 'Convolutional Neural Networks (CNN)']",Data-Centric AI
W4281804579,"['CNNs', 'postharvest deterioration zones', 'fruit quality prediction']",Decision-Support AI
W3082129780,"['convolutional neural networks', 'image recognition']",Data-Centric AI
W4229369233,"['time-series forecasting', 'risk modeling']",Predictive AI
W3047250172,"['DeepLabV3+', 'Convolutional Neural Network (CNN)', 'Object-based vegetation detection']",Decision-Support AI
W3037147010,"['Artificial Neural Networks', 'Multilayer Perceptron']",Predictive AI
W3037369538,['Weather prediction'],Predictive AI
W3027907822,"['artificially intelligent cities', 'systematic adoption of AI', 'urban and social implications', 'pandemics', 'natural disasters']",Decision-Support AI
W3090330565,"['supervised classification model', 'Google Earth Engine', 'multispectral images', 'Landsat', 'Sentinel-2', 'CBERS panchromatic images']",Data-Centric AI
W2991298899,['artificial neural networks'],Predictive AI
W3012850569,['data augmentation'],Data-Centric AI
W4318577731,"['artificial neural networks', 'climate model output', 'global warming thresholds']",Data-Centric AI
W4210738050,"['Convolutional Neural Networks', 'extreme heatwaves']",Predictive AI
W3110295943,['machine learning techniques'],Decision-Support AI
W3126940313,"['Gaussian process regression', 'support vector regression', 'BFGS-ANN', 'LSTM']",Predictive AI
W3006351417,"['deep convolutional neural network (CNN)', 'intensity measurements (IMs) of ground shaking', 'seismic data processing', 'real-time data streaming']",Data-Centric AI
W3215820471,"['convolutional neural networks (CNNs)', 'specimen measurements', 'barcoding', 'morphological analysis']",Data-Centric AI
W3162538444,['LSTMs'],Predictive AI
W3212132479,"['satellite imagery preprocessing', 'geospatial analysis']",Data-Centric AI
W3140418716,"['Deep Learning', 'Convolutional Neural Network', 'Negative Log-Likelihood Loss Function']",Data-Centric AI
W3009216045,"['RainNet', 'deep convolutional neural network', 'radar-based precipitation nowcasting', 'U-Net', 'SegNet', 'binary segmentation tasks', 'quality-controlled weather radar composites', 'German Weather Service (DWD)', 'spatial domain', 'time intervals', 'verification experiments', 'Eulerian persistence', 'optical flow models', 'lead time', 'recursive approach', 'model evaluation metrics']",Data-Centric AI
W3154650405,"['deep convolutional neural networks', 'residual blocks', 'batch normalizations']",Data-Centric AI
W4308540792,['CNN'],Data-Centric AI
W3146049777,['BNN'],Predictive AI
W3090970712,['object-based convolutional neural network (CNN)'],Data-Centric AI
W4210551630,"['ANNs', 'SVM', 'hydrological drought prediction']",Predictive AI
W3180954604,"['Quad-FPN', 'Synthetic aperture radar (SAR) imagery', 'Ship detection', 'Convolutional Neural Networks (CNNs)', 'FPNs', 'Deformable convolutional FPN', 'Content-aware feature reassembly FPN', 'Path aggregation space attention FPN', 'Balance scale global attention FPN']",Predictive AI
W3155261023,"['CNNs', 'Species Distribution Models (SDMs)']",Predictive AI
W3128126482,['IoT sensor analytics'],Data-Centric AI
W4214812787,"['deep-learning method', 'artificial neural network']",Data-Centric AI
W3083643364,['machine learning models'],Predictive AI
W4293776491,"['Random Forest', 'Support Vector Machine (SVM)', 'Artificial Neural Network (ANN)']",Predictive AI
W3043010374,"['convolutional neural network', 'support vector machine', 'multilayer perceptron']",Predictive AI
W3195031531,"['ensemble AI', 'machine learning metasystem', 'AutoML', 'water supply forecasts']",Predictive AI
W4318071656,"['ProGen', 'protein design', 'language model', 'protein sequences']",Data-Centric AI
W3109820329,[],Data-Centric AI
W3118853240,['Artificial Neural Network (ANN)'],Predictive AI
W4225899013,"['Mask R-CNN', 'Google Earth images']",Data-Centric AI
W3197711174,"['water storage dynamics', 'time-series analysis', 'artificial neural network-based model', 'extreme value detection']",Decision-Support AI
W3215812365,"['Convolutional Neural Network (CNN)', 'Recurrent Neural Network (RNN)', 'Long Short-Term Memory (LSTM)']",Predictive AI
W3091991770,[],Other
W3121083187,"['Object-Based Image Analysis', 'Convolutional Neural Networks']",Data-Centric AI
W3096235391,"['CNNs', 'Segmentation']",Predictive AI
W2999219571,[],Other
W4220732966,"['AI-based predictive model', 'GrC-ANN']",Predictive AI
W3187070205,"['modern agricultural technologies', 'data science', 'AI', 'ML']",Decision-Support AI
W3183896951,"['Cellular Automata', 'Artificial Neural Network', 'Landsat satellite images']",Predictive AI
W4282822959,"['Convolutional neural network (CNN)', 'Transformer', 'long short-term memory (LSTM)', 'attention-enhanced LSTM (LSTM-ATT)']",Predictive AI
W3127555882,['LSTM'],Predictive AI
W3005063922,"['artificial neural networks', 'species richness']",Predictive AI
W4283592988,[],Other
W3089780760,['Large-Scale SAR Ship Detection Dataset-v1.0'],Other
W4281993476,['pre-trained protein language models'],Predictive AI
W4313434480,"['YOLO', 'transfer learning', 'synthetic data creation']",Data-Centric AI
W3134412929,"['machine learning', 'spatio-temporal reconstruction and fusion']",Data-Centric AI
W3176066814,"['deep convolutional neural networks (CNNs)', 'downscaling of temperature and precipitation', 'Generalized linear models (GLMs)', 'climate change projections', 'Global Climate Model (GCM) outputs', 'climate signal extrapolation']",Predictive AI
W3181294875,"['supervised machine learning', 'natural language processing methods']",Predictive AI
W3004015853,"['machine learning', 'neural networks', 'reconstruction', 'skill assessment']",Predictive AI
W3186545962,"['autoregressive artificial neural network', 'interpolated subsurface temperature data']",Data-Centric AI
W3125547824,"['deep learning', 'convolutional neural network', 'satellite images']",Data-Centric AI
W3117652191,"['Satellite imagery preprocessing', 'Neural networks (CNNs, ResNet-101)']",Data-Centric AI
W3126773706,"['DNA sequencing', 'machine learning classification analyses']",Predictive AI
W4296107393,"['CNN', 'LSTM']",Predictive AI
W3082044521,['big data'],Data-Centric AI
W3033650189,['Deep learning'],Predictive AI
W3156106752,"['XAI', 'explanation methods']",Predictive AI
W2999667975,['Random Forests'],Predictive AI
W4213187122,"['Deep Learning', 'Convolutional Neural Network', 'Satellite Imagery Bands', 'Dilated Convolution Layers']",Data-Centric AI
W4288697319,"['CNN', 'Inception-ResNet-V2', 'image classification']",Data-Centric AI
W3003931874,"['artificial neural networks', 'risk modeling']",Predictive AI
W3130937359,[],Other
W4220750391,"['deep neural network', 'critical transitions', 'EWSNet']",Decision-Support AI
W3175213166,"['Deep neural networks', 'U-Net architecture', 'Satellite imagery', 'Feature representation', 'CutMix data augmentation']",Data-Centric AI
W3113435130,"['satellite data', 'machine learning']",Predictive AI
W3124018482,['AI climate impact visualizer'],Decision-Support AI
W2998926617,"['ANNS', ' meteorological data', 'water flow forecasting']",Predictive AI
W3211037204,"['ensemble model output statistics (EMOS)', 'member-by-member postprocessing', 'isotonic distributional regression', 'gradient-boosting extended EMOS', 'quantile regression forests', 'distributional regression network', 'Bernstein quantile network', 'histogram estimation network']",Data-Centric AI
W3160021293,"['Graph Machine Learning', 'Biomolecular structures', 'Drug discovery']",Decision-Support AI
W4318225439,['Transformers'],Predictive AI
W3163676459,"['CNNs', 'network seismic traces', 'peak ground motion intensity measures (IMs)', 'M ≥ 3.0 events']",Predictive AI
W3188201332,['CNN'],Predictive AI
W3117405359,"['machine learning', 'artificial intelligence', 'advanced diagnostics', 'vertical farming']",Decision-Support AI
W4225916372,"['multilabel classification', 'self-attention mechanism', 'satellite images']",Decision-Support AI
W4296137764,[],Other
W3162278734,[],Other
W3025070658,[],Decision-Support AI
W4285394443,['LSTMs'],Predictive AI
W3093130013,"['deep learning', 'remote sensing data', 'image classification', 'anomaly detection']",Data-Centric AI
W3035981841,[],Other
W3037664009,"['machine learning based text annotations', 'natural language processing', 'paired-comparison surveys', 'probability modeling', 'regression analysis']",Predictive AI
W4220780516,"['agricultural Big Data', 'machine learning', 'Big Data architectures']",Data-Centric AI
W3042032490,"['MLP artificial neural network', 'Markov chain analysis']",Predictive AI
W4292429088,"['Recurrent Neural Networks', 'LSTM']",Data-Centric AI
W3039441806,"['adversarial deep learning', 'super-resolving outputs']",Data-Centric AI
W3195562771,['machine learning'],Predictive AI
W4210392987,"['CNNs', 'FWENet']",Predictive AI
W3130575005,[],Other
W3028834207,"['machine learning methods', 'predictive models']",Predictive AI
W3198897329,"['image classification', 'dataset creation', 'multi-task learning']",Data-Centric AI
W3086149193,"['strategic solutions', 'energy efficiency', 'carbon trading', 'circular economy vision', 'autonomous systems']",Decision-Support AI
W4311150398,['machine learning techniques'],Predictive AI
W4220734222,"['machine learning', 'sentiments', 'regression analysis']",Decision-Support AI
W4206815340,"['unmanned vehicle technologies', 'IoT sensors', 'autonomous systems', 'cage detection', 'illegal fishing surveillance', 'drone-based traffic optimization']",Decision-Support AI
W4394063158,"['intellectual property rights', 'data protection', 'regulatory frameworks']",Data-Centric AI
W4206924942,['real-time modelling of flood forecasting'],Predictive AI
W4282600419,"['Support Vector Machine (SVM)', 'ionospheric Total Electron Content (TEC) pre-processed time series']",Predictive AI
W4313357273,"['GA-ANN', 'ICA-ANN', 'ELM', 'ORELM']",Predictive AI
W3208967317,"['Cellular automata', 'artificial neural network', 'Soil and Water Assessment Tool (SWAT)']",Data-Centric AI
W3088128915,"['CNNs', 'satellite data']",Predictive AI
W4283811973,['LSTM'],Predictive AI
W3134694888,N/A,N/A
W4392984771,"['five-day lead time', 'extreme riverine events', 'operational early warning system', 'real-time forecasts']",Predictive AI
W4225530673,"['QGIS', 'MLP-ANN']",Data-Centric AI
W4327713517,"['water demand forecasting', 'ARIMA', 'Neural Network', 'Random Forest', 'Prophet']",Predictive AI
W3084541745,"['deep learning', 'transformer', 'earthquake alerting model', 'real-time analysis']",Data-Centric AI
W3033328382,N/A,N/A
W4280589653,['multi-omic tools'],Predictive AI
W4226449712,"['machine learning', 'XGBoost', 'real-time features']",Predictive AI
